iter	TotalF1:average=Macro	MultiClass
235	0.8819392419	0.3067873815
236	0.8827581078	0.306260371
237	0.8827197243	0.3059950022
238	0.8825381962	0.3055920096
239	0.8828363786	0.3055773228
240	0.8836320657	0.3050380291
241	0.8835167463	0.3045641181
242	0.8848860928	0.3039924348
243	0.8849538226	0.3037851221
244	0.8852408852	0.3034864781
245	0.8852281031	0.3031903946
246	0.8857413442	0.302957962
247	0.8855469802	0.3029242203
248	0.8855925706	0.3025614408
249	0.8856619247	0.3021313097
250	0.885735375	0.3018061618
251	0.8865132634	0.3013641503
252	0.8861968581	0.3012864692
253	0.8862319754	0.3010113795
254	0.8873094461	0.3005266245
255	0.8877958136	0.3002363379
256	0.8872111496	0.2997250095
257	0.8883340402	0.2993135094
258	0.8878203735	0.2989918971
259	0.8880221307	0.2983136511
260	0.8884060658	0.2978527719
261	0.8880008985	0.2975310603
262	0.8877650819	0.2971214221
263	0.8883309501	0.2969250077
264	0.888299831	0.2968088148
265	0.8884196486	0.2964759068
266	0.8885397509	0.2960847308
267	0.8887534053	0.2956475835
268	0.8892280835	0.2952237182
269	0.8887323343	0.2950878811
270	0.8894552014	0.2947414063
271	0.8900501707	0.29440893
272	0.8896736971	0.293983896
273	0.890394969	0.2935123517
274	0.891266776	0.2930515714
275	0.8913128989	0.2928395504
276	0.8909112839	0.2924691073
277	0.8908710881	0.2920490373
278	0.8907845371	0.2915669977
279	0.8918210339	0.2912003815
280	0.8915227318	0.2909202163
281	0.8918356262	0.2906270238
282	0.8930219801	0.2902539856
283	0.8939108344	0.2899593898
284	0.8937962787	0.2898023284
285	0.8939529127	0.2895315573
286	0.8941420592	0.2893241304
287	0.8943861556	0.2888232127
288	0.8941172938	0.2883963724
289	0.8949293578	0.2880467861
290	0.8951449929	0.2879726807
291	0.8955043295	0.2875674501
292	0.8955146815	0.2871105329
293	0.8956058125	0.2867525351
294	0.8958543731	0.2866392971
295	0.8967860845	0.2863356632
296	0.8969714613	0.2858535055
297	0.8966238563	0.2856112828
298	0.8972767686	0.2850807278
299	0.8968397014	0.2848801491
300	0.896873647	0.2843528045
301	0.8972227349	0.2840609529
302	0.8971031654	0.283824866
303	0.8971643724	0.2832199286
304	0.8971746949	0.2829791794
305	0.8977003347	0.2825254423
306	0.8975800717	0.2820776146
307	0.897746629	0.281794728
308	0.8979545717	0.2814929721
309	0.89789625	0.2810927134
310	0.8980789177	0.2806884794
311	0.8993370993	0.2803031855
312	0.899517573	0.2797174666
313	0.8999331544	0.2790291149
314	0.9003989723	0.2788199083
315	0.900570521	0.2782630828
316	0.9005853534	0.27818094
317	0.9004042082	0.2777580453
318	0.9005064937	0.2775271878
319	0.9006589689	0.2775083703
320	0.9008435195	0.277288044
321	0.9012785064	0.2770235251
322	0.9014163667	0.27669414
323	0.9018704243	0.2763763127
324	0.9021179774	0.2761003467
325	0.9018821658	0.2758070267
326	0.9020090967	0.2755683523
